Reference, Value, Footprint, Datasheet
SW1,Push1,FreeTtronics:SW_PUSHBUTTON_PTH,
J3,UEXT,Pin_Headers:Pin_Header_Straight_2x05,
J5,UEXT,Pin_Headers:Pin_Header_Straight_2x05,
J12,Nucleo/Arduino Board header,FreeTtronics:ARDUINO_SHIELD,
U2,MCP1640t-i/chy,w_smd_trans:sot23-6,
C4,220uF/16V,Capacitors_SMD:c_elec_8x10,
C2,220uF/16V,Capacitors_SMD:c_elec_8x10,
R19,976k 1%,Resistors_SMD:R_0805,
R20,309k 1%,Resistors_SMD:R_0805,
L1,4.7uH,Inductors:INDUCTOR_V,
J2,V_select,br_pretty:Select,
J4,V_select,br_pretty:Select,
U6,24xx512 EEPROM - NC,w_smd_dil:so-8,
P1,Power Input 3V,Pin_Headers:Pin_Header_Straight_1x02,
R52,R-SIL 10K,Discret:r_pack8,
J8,UEXT,Pin_Headers:Pin_Header_Straight_2x05,
J6,V_select,br_pretty:Select,
U5,ULN2803 - NC,Sockets_DIP:DIP-18__300,
P20,Outputs - NC,Pin_Headers:Pin_Header_Straight_2x05,
Q18,BSS138,FreeTtronics:SOT23_FET,
LD2,LED Green,LEDs:LED-3MM,
U4,PCA9555D SO24,Housings_SOIC:SOIC-24_7.5x15.4mm_Pitch1.27mm,
P23,LCD,Pin_Headers:Pin_Header_Straight_1x04,
D1,DIODE,Diodes_SMD:Diode-MiniMELF_Handsoldering,
E1,Encoder_switch,w_misc_comp:encoder_alps-ec12d,
C9,100n,Capacitors_SMD:C_0805,
C10,100n,Capacitors_SMD:C_0805,
U3,L293D,Sockets_DIP:DIP-16__300,
D2,WS2812B,FreeTtronics:WS2812B,
D3,WS2812B,FreeTtronics:WS2812B,
U7,HC-05,Pin_Headers:Pin_Header_Angled_1x06,
R1,1k,Resistors_SMD:R_0805,
C8,220uF/16V,Capacitors_SMD:c_elec_8x10,
J1,V_select,br_pretty:Select,
Q19,BSS138,FreeTtronics:SOT23_FET,
Q20,BSS138,FreeTtronics:SOT23_FET,
R59,220R,Resistors_SMD:R_0805,
P24,LED-strip,Pin_Headers:Pin_Header_Straight_1x03,
C11,220uF/16V,Capacitors_SMD:c_elec_8x10,
Q1,BSS138,FreeTtronics:SOT23_FET,
R44,1k,Resistors_SMD:R_0805,
R45,1k,Resistors_SMD:R_0805,
R46,1k,Resistors_SMD:R_0805,
R57,10k,Resistors_SMD:R_0805,
R58,10k,Resistors_SMD:R_0805,
R60,10k,Resistors_SMD:R_0805,
R47,1k,Resistors_SMD:R_0805,
R48,1k,Resistors_SMD:R_0805,
C6,100n,Capacitors_SMD:C_0805,
U1,LD29150DT33R,FreeTtronics:DPAK,
C3,220uF/16V,Capacitors_SMD:c_elec_8x10,
C1,100n,Capacitors_SMD:C_0805,
J11,UEXT,Pin_Headers:Pin_Header_Straight_2x05,
J10,V_select,br_pretty:Select,
R49,1k,Resistors_SMD:R_0805,
R50,1k,Resistors_SMD:R_0805,
R56,1k,Resistors_SMD:R_0805,
R17,220R,Resistors_SMD:R_0805,
LD1,LED Yellow,LEDs:LED-3MM,
P22,I2C,Pin_Headers:Pin_Header_Straight_1x04,
P21,I2C,Pin_Headers:Pin_Header_Straight_1x04,
J7,V_select,br_pretty:Select,
R38,R-SIL 2K,Discret:r_pack8,
R41,10k,Resistors_SMD:R_0805,
R42,10k,Resistors_SMD:R_0805,
R43,10k,Resistors_SMD:R_0805,
R53,10k,Resistors_SMD:R_0805,
R54,10k,Resistors_SMD:R_0805,
R55,10k,Resistors_SMD:R_0805,
